Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,unspecified,,
,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,
1743390,A Curse Dark as Gold,Elizabeth C. Bunce,"Bunce, Elizabeth C.",,0439895766,9780439895767,0,3.58,Arthur A. Levine Books,Hardcover,396,2008,2008,,2016/11/27,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
28218973,Buffering: Unshared Tales of a Life Fully Loaded,Hannah Hart,"Hart, Hannah",,0062457519,9780062457516,4,4.26,Dey Street Books,Hardcover,256,2016,2016,,2016/11/25,,,read,,,,1,,,0,,,,,
28601452,"There Will Be Other Summers (Aristotle and Dante Discover the Secrets of the Universe, #2)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,,,0,4.57,Simon & Schuster Books for Young Readers,Hardcover,,,,,2016/06/08,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,0385755880,9780385755887,0,4.16,Knopf,Hardcover,378,2015,2015,,2015/12/14,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
22387443,Strings,G. Miki Hayden,"Hayden, G. Miki",,1620075830,9781620075838,0,3.57,Curiosity Quills Press,Paperback,156,2014,2014,,2015/11/17,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
22463,The Origin of Species,Charles Darwin,"Darwin, Charles",,0785819118,9780785819110,0,3.98,Castle Books,Hardcover,703,2004,1859,,2015/09/13,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
415,Gravity's Rainbow,Thomas Pynchon,"Pynchon, Thomas",,0143039946,9780143039945,0,4,Penguin Books,Paperback,776,2006,1973,,2014/11/03,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
6566887,The Ticking Is the Bomb: A Memoir,Nick Flynn,"Flynn, Nick",,0393068161,9780393068160,0,3.91,W. W. Norton & Company,Hardcover,283,2010,2009,,2014/10/18,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
17210598,The Bunker Diary,Kevin Brooks,"Brooks, Kevin",,0141326123,9780141326122,0,3.81,Penguin,Paperback,268,2013,2013,,2014/06/27,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
9711714,Everybody Sees the Ants,A.S. King,"King, A.S.",,0316129283,9780316129282,0,4,"Little, Brown Books for Young Readers",Hardcover,279,2011,2011,,2014/06/22,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,,,0,3.91,Quirk,Hardcover,352,2011,2011,,2014/06/22,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
16113737,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,"Higashida, Naoki","K.A. Yoshida, David Mitchell",0812994868,9780812994865,0,3.82,Random House,Hardcover,135,2013,2005,,2013/08/09,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
