Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17404695,"The First Pillar (Everville, #1)",Roy Huff,"Huff, Roy",,"=""0988936402""","=""9780988936409""",0,3.56,Roy Huff,Paperback,230,2013,2013,,2013/06/21,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Walter Trier","=""0142437174""","=""9780142437179""",4,3.82,Penguin Classics,Paperback,327,2002,1884,,2013/06/19,,,read,,,,1,,,0,,,,,
28194,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,"=""0439709105""","=""9780439709101""",3,3.88,Scholastic Paperbacks,Paperback,563,2005,2003,,2013/06/19,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.28,Harper Perennial Modern Classics,Paperback,324,2006,1960,,2013/06/19,,,read,,,,1,,,0,,,,,
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",0,3.86,Random House Children's Books,Paperback,288,2003,2003,,2013/06/19,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
3236307,"Graceling (Graceling Realm, #1)",Kristin Cashore,"Cashore, Kristin",,"=""""","=""""",3,4.08,Harcourt,Hardcover,471,2008,2008,,2013/06/19,,,read,,,,1,,,0,,,,,
16180352,"The B-Team (The Human Division, #1)",John Scalzi,"Scalzi, John",,"=""1466830514""","=""9781466830516""",0,4.07,Tor Books,ebook,93,2013,2013,,2013/06/19,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.16,Gollancz,Paperback,515,2007,2006,,2013/06/19,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
276767,"The Word for World is Forest (Hainish Cycle, #5)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,3.98,,ebook,160,1989,1972,,2013/06/19,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
222472,"Halting State (Halting State, #1)",Charles Stross,"Stross, Charles",,"=""0441014984""","=""9780441014989""",0,3.79,Ace Books,Hardcover,351,2007,2007,,2013/06/19,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Lewis Carroll, Rene Cloke","=""0517223627""","=""9780517223628""",5,4.02,Gramercy Books,Hardcover,92,2004,1865,,2013/06/15,"academic, fantasy","academic (#2), fantasy (#26)",read,,,,1,,,0,,,,,
17288352,"Disconnect (Divided Worlds, #1)",Imran Siddiq,"Siddiq, Imran",,"=""1481968149""","=""9781481968140""",0,3.70,Flickimp Publishing,Paperback,277,2013,2013,,2013/06/14,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
16045955,Game Theory (Katerina Carter Fraud #2),Colleen Cross,"Cross, Colleen",,"=""0987883518""","=""9780987883513""",0,3.95,Slice Publishing,Paperback,336,2012,2012,,2013/06/14,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
15797394,"Between Two Thorns (The Split Worlds, #1)",Emma Newman,"Newman, Emma",,"=""0857663208""","=""9780857663207""",0,3.70,Angry Robot,Paperback,384,2013,2013,,2013/06/14,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
17830212,Hellhound,Kaylie Austen,"Austen, Kaylie",,"=""1939865301""","=""9781939865304""",0,3.98,World Castle Publishing,Paperback,289,2013,2013,,2013/06/14,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
18008101,Unveiling the mind of God with The-I-Theory: The Inevitable Theory,A.Z. Khan,"Khan, A.Z.",,"=""1470101327""","=""9781470101329""",0,4.00,Createspace Independent Publishing Platform,Paperback,160,2013,2013,,2013/06/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
16233259,The Book,Jessica Bell,"Bell, Jessica",,"=""1481179306""","=""9781481179300""",0,4.28,Vine Leaves Press,Paperback,154,2013,2013,,2013/06/14,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
12987245,"The Hammer and the Blade (Egil and Nix, #1)",Paul S. Kemp,"Kemp, Paul S.",,"=""0857662457""","=""9780857662453""",0,3.76,Angry Robot,Mass Market Paperback,410,2012,2012,,2013/06/11,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
17162150,"Three (Legends of the Duskwalker, #1)",Jay Posey,"Posey, Jay",,"=""0857663631""","=""9780857663634""",0,3.93,Angry Robot,Paperback,421,2013,2013,,2013/06/11,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
9753814,Human Blend (Blend Trilogy #1),Lori Pescatore,"Pescatore, Lori",,"=""1453765131""","=""9781453765135""",0,3.77,Createspace Independent Publishing Platform,Paperback,242,2010,2010,,2013/06/11,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
2259066,Atrapados En El Hielo,Caroline Alexander,"Alexander, Caroline",,"=""8408047140""","=""9788408047148""",0,4.32,Planeta,Paperback,306,2003,1998,,2013/06/11,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
